198947,9/18/2023,IA/N-0004873,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Primary cooling pump #2,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Cooling Water : 0093.001.0018,Piece,3,400
198948,9/19/2023,IA/N-0004874,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Cutting : 1007.006.0003,Piece,1,295
198949,9/20/2023,IA/N-0004875,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,45,154.8673333
198950,9/23/2023,IA/N-0004876,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3483,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,40,154.86725
198951,9/25/2023,IA/N-0004877,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,41,154.8673171
198952,9/26/2023,IA/N-0004878,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #3,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0080,Piece,1,949.2
198952,9/26/2023,IA/N-0004878,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #3,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0059,Piece,1,147000
198953,9/27/2023,IA/N-0004879,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #3,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Turbine Governor : 0021.001.0057,Litre,20,537.16
198954,9/29/2023,IA/N-0004880,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Unit #3,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Polishing : 1007.005.0007,Piece,2,356.035
198955,10/1/2023,IA/N-0004881,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Lower injector #8,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0029,Set,1,290000
198955,10/1/2023,IA/N-0004881,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Lower injector #8,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0008,Piece,2,3200
198956,10/2/2023,IA/N-0004882,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,61,154.8672131
198959,10/2/2023,IA/N-0004883,14100 SparePart,66040 RepMaintElectroTechPlantInstal,,Spare injector testing,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Voltage Reg : 0023.001.0004,Piece,1,140486.5
198959,10/2/2023,IA/N-0004883,14100 SparePart,66040 RepMaintElectroTechPlantInstal,,Spare injector testing,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Turbine Governor : 0021.001.0046,Piece,1,39928.6
198960,10/2/2023,IA/N-0004884,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,JCB,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,63,154.8673016
198961,10/2/2023,IA/N-0004885,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Tractor Holland,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,35,154.8671429
198962,10/4/2023,IA/N-0004886,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Swimming  pool pipe line use,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Steel : Clamp : 1000.011.0012,Piece,1,13.27
198963,10/8/2023,IA/N-0004887,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3480,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,54,154.8672222
199331,10/11/2023,IA/N-0004888,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,47,154.867234
199458,10/13/2023,IA/N-0004889,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #4175,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,51,154.8672549
199459,10/13/2023,IA/N-0004890,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8939,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,15,154.8673333
199460,10/13/2023,IA/N-0004891,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Injector manintenance,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Miscellaneous : 0134.001.0022,metre,3.2,60
199460,10/13/2023,IA/N-0004891,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Injector manintenance,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Miscellaneous : 0134.001.0014,metre,4,100
199461,10/15/2023,IA/N-0004892,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,VOID,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0060,Piece,0,1412.5
199462,10/17/2023,IA/N-0004893,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,56,154.8673214
201435,10/17/2023,IA/N-0004894,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Fire fighting pipe line,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Pipe Fitting : Reducer : 1001.006.0009,Piece,1,117.25
201440,10/17/2023,IA/N-0004895,14100 SparePart,66900 OtherRepMaintCost,,Fire fighting pipe line,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Pipe Fitting : Nipple : 1001.004.0020,Piece,1,943.5
201440,10/17/2023,IA/N-0004895,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Fire fighting pipe line,Himal Power Ltd (NPR),Oct 2023 [Ashwin 2080],Khimti JVC,,,KIRNE (N),Inv : Pipe Fitting : Elbow : 1001.002.0006,Piece,1,431.9
201494,10/18/2023,IA/N-0004896,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,28,154.8671429
201495,10/20/2023,IA/N-0004897,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #4175,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,27,154.8674074
201496,10/27/2023,IA/N-0004898,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,57,154.867193
201497,10/29/2023,IA/N-0004899,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Cutting : 1007.006.0003,Piece,1,295
201498,10/30/2023,IA/N-0004900,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Adhesives : 1006.001.0002,Litre,1,975
201498,10/30/2023,IA/N-0004900,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,5,154.868
201499,10/31/2023,IA/N-0004901,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Cutting : 1007.006.0003,Piece,1,295
201500,11/5/2023,IA/N-0004902,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,59,154.8672881
201501,11/8/2023,IA/N-0004903,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Landcruiser #4502,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,55,154.8672727
201502,11/10/2023,IA/N-0004904,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8939,Himal Power Ltd (NPR),Nov 2023 [Kartik 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,40,154.86725
201503,11/17/2023,IA/N-0004905,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,42,154.8671429
201504,11/17/2023,IA/N-0004906,14000 RawMaterialSemiManufacture,62501 DieselPremises,,Head woks,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,220,154.8672273
201505,11/17/2023,IA/N-0004907,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3480,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,26,154.8673077
201506,11/18/2023,IA/N-0004908,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Injector #12,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0008,Piece,3,3200
201507,11/20/2023,IA/N-0004909,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,JCB,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,60,154.8671667
201508,11/21/2023,IA/N-0004910,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3480,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,36,154.8672222
201509,11/25/2023,IA/N-0004911,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Tractor Holland,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,33,154.8672727
201510,11/25/2023,IA/N-0004912,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,JCB,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,60,154.8671667
201511,11/25/2023,IA/N-0004913,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Lower beak repairing,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Polishing : 1007.005.0005,Piece,2,454.815
201511,11/25/2023,IA/N-0004913,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Lower beak repairing,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Polishing : 1007.005.0007,Piece,2,356.035
201512,11/27/2023,IA/N-0004914,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,3,154.8666667
201513,11/27/2023,IA/N-0004915,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #5,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0008,Piece,1,3200
201514,12/1/2023,IA/N-0004916,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,JCB,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,48,154.8672917
201515,12/1/2023,IA/N-0004917,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Tractor Holland,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,26,154.8673077
201516,12/2/2023,IA/N-0004918,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,32,154.8671875
201517,12/7/2023,IA/N-0004919,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8939,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,33,154.8672727
201518,12/7/2023,IA/N-0004920,14000 RawMaterialSemiManufacture,62501 DieselPremises,,Emergency DG,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,700,154.8672429
201519,12/7/2023,IA/N-0004921,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Injector manintenance,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Miscellaneous : 0134.001.0022,metre,1.5,60
201520,12/8/2023,IA/N-0004922,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,23,154.8673913
201521,12/8/2023,IA/N-0004923,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Steel : Clamp : 1000.011.0012,Piece,2,13.27
201522,12/8/2023,IA/N-0004924,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,G1 brake system,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Generator : 0022.001.0066,Piece,1,1474.72
201523,12/11/2023,IA/N-0004925,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,41,154.8673171
201524,12/11/2023,IA/N-0004926,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,10,154.867
201525,12/13/2023,IA/N-0004927,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,2,154.865
201526,12/14/2023,IA/N-0004928,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,HVAC Pump at Power house,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : HVAC : 0095.001.0024,Piece,1,565
201527,12/15/2023,IA/N-0004929,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3480,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,46,154.8671739
201528,12/15/2023,IA/N-0004930,14000 RawMaterialSemiManufacture,62501 DieselPremises,,Head woks,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,220,154.8672727
201529,12/17/2023,IA/N-0004931,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,5,154.868
201530,12/24/2023,IA/N-0004932,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,53,154.8671698
201531,12/25/2023,IA/N-0004933,14100 SparePart,66040 RepMaintElectroTechPlantInstal,,Unit #3,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Breaker Cubicles : 0034.001.0005,Piece,1,176165
201532,12/26/2023,IA/N-0004934,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,58,154.8672414
201653,12/28/2023,IA/N-0004935,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3483,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,29,154.8672414
201655,12/29/2023,IA/N-0004936,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #4175,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,21,154.8671429
201656,12/31/2023,IA/N-0004937,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,JCB,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,78,154.8673077
201659,12/31/2023,IA/N-0004938,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,41,154.8673171
201660,12/31/2023,IA/N-0004939,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,10,154.867