58584,7/30/2013,Aug 2013 [Shrawan 2070],N-1,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA NPR portion for Ashadh'70,NEA NPR portion for Ashadh'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/0000249," 9,714,393.12 ",INV/0000249,1,,15000 AccountReceivable,"($9,714,393.12)"," 9,714,393.12 ",E5702070 (N) Bimala Khadka
58585,7/30/2013,Aug 2013 [Shrawan 2070],N-2,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD portion for Ashadh'70,NEA USD portion for Ashadh'70,FIN,KATHMANDU (N),,,,US Dollar,95.65,INV/0000247," 2,570,903.28 ",INV/0000247,1,,15000 AccountReceivable,"($2,570,903.28)"," 2,570,903.28 ",E5702070 (N) Bimala Khadka
59795,9/3/2013,Sep 2013 [Bhadra 2070],N-3,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEa payment Shrawan'70,NEa payment Shrawan'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000002," 9,714,393.12 ",INV/N-0000002,1,,15000 AccountReceivable,"($9,714,393.12)"," 9,714,393.12 ",E5702070 (N) Bimala Khadka
59796,9/3/2013,Sep 2013 [Bhadra 2070],N-4,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD payment for Shrawan'70,NEA USD payment for Shrawan'70,FIN,KATHMANDU (N),,,,US Dollar,106.95,INV/N-0000003," 2,616,007.99 ",INV/N-0000003,1,,15000 AccountReceivable,"($2,616,007.99)"," 2,616,007.99 ",E5702070 (N) Bimala Khadka
60856,10/2/2013,Oct 2013 [Ashwin 2070],N-5,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),Payment of NEA NPR portion for Bhadra'70,Payment of NEA NPR portion for Bhadra'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000006," 9,714,393.12 ",INV/N-0000006,1,,15000 AccountReceivable,"($9,714,393.12)"," 9,714,393.12 ",E5702070 (N) Bimala Khadka
60857,10/2/2013,Oct 2013 [Ashwin 2070],N-6,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),Payment of NEA USD portion for Bhadra'70,Payment of NEA USD portion for Bhadra'70,FIN,KATHMANDU (N),,,,US Dollar,100.25,INV/N-0000005," 2,616,007.99 ",INV/N-0000005,1,,15000 AccountReceivable,"($2,616,007.99)"," 2,616,007.99 ",E5702070 (N) Bimala Khadka
62394,11/1/2013,Nov 2013 [Kartik 2070],N-7,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD payment of Ashwin'70,NEA USD payment of Ashwin'70,FIN,KATHMANDU (N),,,,US Dollar,98.7,INV/N-0000009," 2,616,007.99 ",INV/N-0000009,1,,15000 AccountReceivable,"($2,616,007.99)"," 2,616,007.99 ",E5702070 (N) Bimala Khadka
62396,11/1/2013,Nov 2013 [Kartik 2070],N-8,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA NPR portion for Ashwin'70,NEA NPR portion for Ashwin'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000008," 9,714,393.12 ",INV/N-0000008,1,,15000 AccountReceivable,"($9,714,393.12)"," 9,714,393.12 ",E5702070 (N) Bimala Khadka
63395,12/6/2013,Dec 2013 [Mangsir 2070],N-9,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA NPR portion received for Kartik'70,NEA NPR portion received for Kartik'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000013," 2,258,263.98 ",INV/N-0000011,1,,15000 AccountReceivable,"($12,725,411.76)"," 12,725,411.76 ",E5702070 (N) Bimala Khadka
63396,12/6/2013,Dec 2013 [Mangsir 2070],N-10,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD Portion for Kartik'70,NEA USD Portion for Kartik'70,FIN,KATHMANDU (N),,,,US Dollar,100.25,INV/N-0000012," 2,616,007.99 ",INV/N-0000012,1,,15000 AccountReceivable,"($2,616,007.99)"," 2,616,007.99 ",E5702070 (N) Bimala Khadka
63398,12/6/2013,Dec 2013 [Mangsir 2070],N-11,50022.NPR Nepal Electricity Authority (Royalty),Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),Royalty received till Jestha'70,Royalty received till Jestha'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/0000251," 62,808,232.62 ",INV/0000251,1,,15000 AccountReceivable,"($62,808,232.62)"," 62,808,232.62 ",E5702070 (N) Bimala Khadka
63592,12/15/2013,Dec 2013 [Mangsir 2070],N-12,50116.NPR SN Power Nepal,Himal Power Ltd (NPR),19207N SCB/NPR 18-1107518-01 SAV  (N),Payment from SN Power from Aug to Nov'13,Payment from SN Power from Aug to Nov'13,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,SC/N-0000014," 1,200.00 ",SC/N-0000001,1,,15400 IntercoShortTermReceivGroupCo,"($523,219.05)"," 523,219.05 ",E5702070 (N) Bimala Khadka
65207,12/31/2013,Jan 2014 [Paush 2070],N-13,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA payment NPR portion for Marg'70,NEA payment NPR portion for Marg'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000016," 10,467,147.78 ",INV/N-0000016,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
65251,12/31/2013,Jan 2014 [Paush 2070],N-14,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA Payment for Marg'70,NEA Payment for Marg'70,FIN,KATHMANDU (N),,,,US Dollar,99.25,INV/N-0000017," 4,367,876.28 ",INV/N-0000017,1,,15000 AccountReceivable,"($4,367,876.28)"," 4,367,876.28 ",E5702070 (N) Bimala Khadka
66523,1/29/2014,Feb 2014 [Magh 2070],N-15,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NPR payment for Magh'70,NPR payment for Magh'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000022," 10,467,147.78 ",INV/N-0000022,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
66524,1/29/2014,Feb 2014 [Magh 2070],N-16,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD payment for Poush'70,NEA USD payment for Poush'70,FIN,KATHMANDU (N),,,,US Dollar,99.7,INV/N-0000021," 4,231,338.17 ",INV/N-0000021,1,,15000 AccountReceivable,"($4,231,338.17)"," 4,231,338.17 ",E5702070 (N) Bimala Khadka
67966,2/28/2014,Mar 2014 [Phalgun 2070],N-17,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA payment for Magh'70,NEA payment for Magh'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000024," 10,467,147.78 ",INV/N-0000024,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
67967,2/28/2014,Mar 2014 [Phalgun 2070],N-18,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD payment received for Magh'70,NEA USD payment received for Magh'70,FIN,KATHMANDU (N),,,,US Dollar,99.35,INV/N-0000025," 3,525,594.86 ",INV/N-0000025,1,,15000 AccountReceivable,"($3,525,594.86)"," 3,525,594.86 ",E5702070 (N) Bimala Khadka
69472,4/13/2014,Apr 2014 [Chaitra 2070],N-19,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA NPR portion for Phalgun'70,NEA NPR portion for Phalgun'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000029," 10,467,147.78 ",INV/N-0000029,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
69473,4/13/2014,Apr 2014 [Chaitra 2070],N-20,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD Portion for Phalgun'70,NEA USD Portion for Phalgun'70,FIN,KATHMANDU (N),,,,US Dollar,96.55,INV/N-0000028," 3,350,432.84 ",INV/N-0000028,1,,15000 AccountReceivable,"($3,350,432.84)"," 3,350,432.84 ",E5702070 (N) Bimala Khadka
70662,4/30/2014,May 2014 [Baisakh 2071],N-21,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA payment for Chaitra'70,NEA payment for Chaitra'70,FIN,KATHMANDU (N),,,,US Dollar,96.8,INV/N-0000033," 3,033,718.83 ",INV/N-0000033,1,,15000 AccountReceivable,"($3,033,718.83)"," 3,033,718.83 ",E5702070 (N) Bimala Khadka
70665,4/30/2014,May 2014 [Baisakh 2071],N-22,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA payment for Chaitra'70,NEA payment for Chaitra'70,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000032," 10,467,147.78 ",INV/N-0000032,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
72092,6/13/2014,Jun 2014 [Jestha 2071],N-23,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA payment for Baisakh'71,NEA payment for Baisakh'71,FIN,KATHMANDU (N),,,,US Dollar,95.35,INV/N-0000035," 2,015,850.49 ",INV/N-0000035,1,,15000 AccountReceivable,"($2,015,850.49)"," 2,015,850.49 ",E5702070 (N) Bimala Khadka
72114,5/30/2014,Jun 2014 [Jestha 2071],N-24,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA NPR portion for Baisakh'71,NEA NPR portion for Baisakh'71,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000036," 9,360,037.56 ",INV/N-0000036,1,,15000 AccountReceivable,"($9,360,037.56)"," 9,360,037.56 ",E5702070 (N) Bimala Khadka
72115,5/15/2014,Jun 2014 [Jestha 2071],N-25,50116.NPR SN Power Nepal,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),Payment from SN Power till 14th May'14,Payment from SN Power till 14th May'14,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,SC/N-0000045," 4,737.58 ",SC/N-0000036,1,,15400 IntercoShortTermReceivGroupCo,"($986,492.91)"," 986,492.91 ",E5702070 (N) Bimala Khadka
72116,5/15/2014,Jun 2014 [Jestha 2071],N-26,50116.NPR SN Power Nepal,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),Payment from SN Power till 14th May'14,Payment from SN Power till 14th May'14,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000030," 151,483.59 ",INV/N-0000026,1,,15000 AccountReceivable,"($261,618.00)"," 261,618.00 ",E5702070 (N) Bimala Khadka
72139,5/15/2014,Jun 2014 [Jestha 2071],N-27,50128.NPR SN Power Nepal,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),Payment received from SN Power,Payment received from SN Power,FIN,KATHMANDU (N),,,,US Dollar,95.45,INV/N-0000019," 2,540.00 ",INV/N-0000019,1,,15400 IntercoShortTermReceivGroupCo,"($2,540.00)"," 2,540.00 ",E5702070 (N) Bimala Khadka
72227,5/15/2014,Jun 2014 [Jestha 2071],N-28,50132.NPR SN Power Norway AS,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),IFRS audit fee reimbursed from SN Power,IFRS audit fee reimbursed from SN Power,FIN,KATHMANDU (N),,,,US Dollar,94.85,INV/N-0000027," 4,272.75 ",INV/N-0000027,1,,15000 AccountReceivable,"($4,272.75)"," 4,272.75 ",E5702070 (N) Bimala Khadka
73626,6/30/2014,Jul 2014 [Ashad 2071],N-29,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA NPR portion payment for Jestha'71,NEA NPR portion payment for Jestha'71,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000038," 6,126,161.06 ",INV/N-0000038,1,,15000 AccountReceivable,"($6,126,161.06)"," 6,126,161.06 ",E5702070 (N) Bimala Khadka
73627,6/30/2014,Jul 2014 [Ashad 2071],N-30,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),USD portion payment for Jestha'71,USD portion payment for Jestha'71,FIN,KATHMANDU (N),,,,US Dollar,96.35,INV/N-0000039," 1,531,083.38 ",INV/N-0000039,1,,15000 AccountReceivable,"($1,531,083.38)"," 1,531,083.38 ",E5702070 (N) Bimala Khadka
75000,8/3/2014,Aug 2014 [Shrawan 2071],N-31,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NPR portion Ashadh'71,NPR portion Ashadh'71,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000042," 10,467,147.78 ",INV/N-0000042,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
75001,8/1/2014,Aug 2014 [Shrawan 2071],N-32,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD portion for Ashadh'71,NEA USD portion for Ashadh'71,FIN,KATHMANDU (N),,,,US Dollar,97.5,INV/N-0000041," 2,616,006.31 ",INV/N-0000041,1,,15000 AccountReceivable,"($2,616,006.31)"," 2,616,006.31 ",E5702070 (N) Bimala Khadka
75004,7/22/2014,Aug 2014 [Shrawan 2071],N-33,50116.NPR SN Power Nepal,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),SN Power's payment for Baisakh & Jestha,SN Power's payment for Baisakh & Jestha,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,SC/N-0000091," 7,330.68 ",SC/N-0000089,1,,15400 IntercoShortTermReceivGroupCo,"($245,184.63)"," 245,184.63 ",E5702070 (N) Bimala Khadka
76046,9/1/2014,Sep 2014 [Bhadra 2071],N-34,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA NPR portion for Shrawan'71,NEA NPR portion for Shrawan'71,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000046," 10,467,147.78 ",INV/N-0000046,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
76047,9/1/2014,Sep 2014 [Bhadra 2071],N-35,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD porton for Shrawan'71,NEA USD porton for Shrawan'71,FIN,KATHMANDU (N),,,,US Dollar,97.1,INV/N-0000045," 2,670,220.54 ",INV/N-0000045,1,,15000 AccountReceivable,"($2,670,220.54)"," 2,670,220.54 ",E5702070 (N) Bimala Khadka
77220,9/30/2014,Oct 2014 [Ashwin 2071],N-36,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),,,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000048," 10,467,147.78 ",INV/N-0000048,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
77223,9/30/2014,Oct 2014 [Ashwin 2071],N-37,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),,,FIN,KATHMANDU (N),,,,US Dollar,98.9,INV/N-0000049," 2,670,220.54 ",INV/N-0000049,1,,15000 AccountReceivable,"($2,670,220.54)"," 2,670,220.54 ",E5702070 (N) Bimala Khadka
77283,9/24/2014,Oct 2014 [Ashwin 2071],N-38,50022.NPR Nepal Electricity Authority (Royalty),Himal Power Ltd (NPR),19213N NMB/NPR 0200010920300038 CUR  (N),,,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000044," 55,907,289.09 ",INV/N-0000044,1,,15000 AccountReceivable,"($55,907,289.09)"," 55,907,289.09 ",E5702070 (N) Bimala Khadka
78738,11/4/2014,Nov 2014 [Kartik 2071],N-39,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA payment Ashwin'71,NEA payment Ashwin'71,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000051," 10,467,147.78 ",INV/N-0000051,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
78739,11/4/2014,Nov 2014 [Kartik 2071],N-40,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD portion for Ashwin'71,NEA USD portion for Ashwin'71,FIN,KATHMANDU (N),,,,US Dollar,98.5,INV/N-0000052," 2,670,220.54 ",INV/N-0000052,1,,15000 AccountReceivable,"($2,670,220.54)"," 2,670,220.54 ",E5702070 (N) Bimala Khadka
79985,12/3/2014,Dec 2014 [Mangsir 2071],N-41,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA NPR portion for Kartik'71,NEA NPR portion for Kartik'71,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000057," 10,467,147.78 ",INV/N-0000057,1,,15000 AccountReceivable,"($10,467,147.78)"," 10,467,147.78 ",E5702070 (N) Bimala Khadka
79986,12/3/2014,Dec 2014 [Mangsir 2071],N-42,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),NEA USD portion for Kartik'71,NEA USD portion for Kartik'71,FIN,KATHMANDU (N),,,,US Dollar,99.35,INV/N-0000056," 2,670,220.52 ",INV/N-0000056,1,,15000 AccountReceivable,"($2,670,220.52)"," 2,670,220.52 ",E5702070 (N) Bimala Khadka
81534,1/1/2015,Jan 2015 [Paush 2071],N-43,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),,,FIN,KATHMANDU (N),,,,US Dollar,100.2,INV/N-0000059," 4,036,262.74 ",INV/N-0000059,1,,15000 AccountReceivable,"($4,036,262.74)"," 4,036,262.74 ",E5702070 (N) Bimala Khadka
81549,12/31/2014,Jan 2015 [Paush 2071],N-44,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),,,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000060," 14,697,963.42 ",INV/N-0000060,1,,15000 AccountReceivable,"($14,697,963.42)"," 14,697,963.42 ",E5702070 (N) Bimala Khadka
81551,1/13/2015,Jan 2015 [Paush 2071],N-45,00024.NPR Statkraft AS,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),,,FIN,KATHMANDU (N),,,,US Dollar,99,INV/N-0000055," 2,725.87 ",INV/N-0000055,1,,15000 AccountReceivable,"($2,725.87)"," 2,725.87 ",E5702070 (N) Bimala Khadka
82085,2/2/2015,Feb 2015 [Magh 2071],N-46,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),NEA payment NPR portion for Poush'71,NEA payment NPR portion for Poush'71,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000063," 11,313,310.91 ",INV/N-0000063,1,,15000 AccountReceivable,"($11,313,310.91)"," 11,313,310.91 ",E5702070 (N) Bimala Khadka
82086,2/3/2015,Feb 2015 [Magh 2071],N-47,50119.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19200N SCB/USD 01-0417319-51 CUR (N),Payment-NEA USD portion for Poush'71,Payment-NEA USD portion for Poush'71,FIN,KATHMANDU (N),,,,US Dollar,98.9,INV/N-0000064," 4,150,041.52 ",INV/N-0000064,1,,15000 AccountReceivable,"($4,150,041.52)"," 4,150,041.52 ",E5702070 (N) Bimala Khadka
82094,1/19/2015,Feb 2015 [Magh 2071],N-48,50116.NPR SN Power Nepal,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),SN Power's payment till Dec'14,SN Power's payment till Dec'14,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,SC/N-0000138, 376.84 ,SC/N-0000117,1,,15400 IntercoShortTermReceivGroupCo,"($667,535.58)"," 667,535.58 ",E5702070 (N) Bimala Khadka
82095,1/19/2015,Feb 2015 [Magh 2071],N-49,50116.NPR SN Power Nepal,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),Payment received from SNP,Payment received from SNP,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000054," 102,063.92 ",INV/N-0000054,1,,15000 AccountReceivable,"($102,063.92)"," 102,063.92 ",E5702070 (N) Bimala Khadka
84067,3/1/2015,Mar 2015 [Phalgun 2071],N-50,50001.NPR Nepal Electricity Authority,Himal Power Ltd (NPR),19201N SCB/NPR 01-0417289-01 CUR  (N),,,FIN,KATHMANDU (N),,,,Nepalese Rupee,1,INV/N-0000066," 11,313,312.32 ",INV/N-0000066,1,,15000 AccountReceivable,"($11,313,312.32)"," 11,313,312.32 ",E5702070 (N) Bimala Khadka
